x,y
0.15,0.99
0.44,0.69
0.00,0.65
0.93,0.42
0.14,0.80
0.00,0.66
0.12,0.69
0.59,0.35
0.30,0.83
0.38,0.35
0.93,0.75
0.38,0.99
0.83,0.78
0.86,0.94
0.24,0.63
0.22,0.24
0.25,0.81
0.76,0.89
0.04,0.16
0.31,0.99
0.40,0.02
0.43,0.68
0.07,0.65
0.96,0.97
0.59,0.86
0.09,0.22
0.46,0.51
0.59,0.53
0.80,0.15
0.81,0.29
0.34,0.07
0.58,0.52
0.44,0.31
0.13,0.65
0.40,0.96
0.32,0.51
0.27,0.40
0.96,0.07
0.36,0.94
0.01,0.94
0.92,0.70
0.83,0.01
0.92,0.86
0.27,0.45
0.20,0.02
0.73,0.03
0.44,0.39
0.68,0.90
0.82,0.46
0.76,0.24
0.60,0.32
0.15,0.10
0.76,0.01
0.92,0.51
0.56,0.38
0.37,0.77
0.14,0.04
0.39,0.31
0.88,0.17
0.50,0.63
0.08,0.20
0.68,0.05
0.59,0.96
0.10,0.32
0.62,0.13
0.15,0.29
0.35,0.76
0.55,0.13
0.84,0.91
0.19,0.03
0.27,0.03
0.36,0.66
0.79,0.90
0.82,0.51
0.70,0.56
0.99,0.06
0.59,0.38
0.19,0.33
0.37,0.28
0.49,0.53
0.86,0.62
0.05,0.10
0.19,0.57
0.72,0.06
0.44,0.99
0.59,0.54
0.48,0.91
0.47,0.94
0.23,0.83
0.72,0.96
0.28,0.27
0.28,0.59
0.64,0.06
0.66,0.98
0.32,0.88
0.90,0.64
0.72,0.91
0.16,0.58
0.91,0.06
0.20,0.71
0.72,0.24
0.27,0.44
0.76,0.33
0.85,0.11
1.00,0.51
0.33,0.30
0.36,0.81
0.66,0.52
0.64,0.89
0.78,0.96
0.72,0.35
0.84,0.86
0.05,0.90
0.23,0.80
0.18,0.94
0.60,0.14
0.01,0.29
0.24,0.42
0.76,0.27
0.22,0.33
0.67,0.83
0.54,0.76
0.67,0.18
0.82,0.37
0.61,0.20
0.34,0.24
0.19,0.14
0.61,0.32
0.82,0.12
0.20,0.37
0.02,0.69
0.51,0.50
0.97,0.31
0.45,0.31
0.92,0.54
0.74,0.52
0.37,0.87
0.92,0.14
0.78,1.00
0.61,0.17
0.88,0.22
0.90,0.08
0.93,0.43
0.14,0.97
0.82,0.35
0.93,0.72
0.18,0.49
0.06,0.12
0.62,0.90
0.89,0.15
0.52,0.39
0.23,0.56
0.16,0.62
0.77,0.28
0.24,0.58
0.79,0.32
0.16,0.65
0.09,0.62
0.68,0.46
0.07,0.44
0.39,0.46
0.03,0.12
0.26,0.33
0.71,0.82
0.24,0.99
0.37,0.53
0.30,0.57
0.35,0.92
0.16,0.48
0.10,0.84
0.18,0.67
0.67,0.10
0.36,0.51
0.74,0.59
0.46,0.25
0.65,0.25
0.81,0.13
0.96,0.08
0.16,0.38
0.59,0.08
0.14,0.58
0.22,0.67
0.42,0.96
1.00,0.45
0.04,0.01
0.93,0.48
0.58,0.70
0.87,0.26
0.21,0.99
0.88,0.99
0.03,0.78
0.19,0.59
0.31,0.15
0.58,0.61
0.21,0.18
0.69,0.78
0.03,0.83
0.57,0.44
0.77,0.08
0.68,0.60
0.29,0.57
0.75,0.54
0.62,0.88
0.96,0.56
0.14,0.18
0.32,0.70
0.98,0.01
0.47,0.97
0.07,0.30
0.75,0.45
0.33,0.41
0.27,0.37
0.90,0.62
0.46,0.02
0.60,0.53
0.52,0.95
0.05,0.66
0.40,0.19
0.17,0.20
0.64,0.96
0.32,0.02
0.59,0.65
0.49,0.03
0.15,0.29
0.71,0.11
0.92,0.07
0.07,0.67
0.66,0.29
0.53,0.61
0.16,0.74
0.19,0.47
0.56,0.12
0.28,0.28
0.40,0.89
0.99,0.00
0.61,0.43
0.83,0.22
0.36,0.19
0.85,0.99
0.91,0.34
0.65,0.74
0.93,0.69
0.79,0.02
0.66,0.17
0.36,0.51
0.88,0.31
0.26,0.15
0.95,0.68
0.18,0.99
0.25,0.96
0.98,0.34
0.38,0.92
0.07,0.16
0.89,0.95
0.50,0.11
0.45,0.62
0.73,0.42
0.94,0.44
0.33,0.61
0.90,0.84
0.21,0.35
0.21,0.92
0.79,0.47
